站名,经度,纬度
松岗,113.8246073279173,22.775189365138832
华侨城站,113.98041149159182,22.53640080709205
洪浪北,113.90572214848787,22.577591869373055
塘朗,113.99466909048306,22.592960639012034
农林,114.0130953780954,22.5432242681053
通新岭,114.09114769676756,22.551806839736603
翻身,113.88835792872074,22.562740410995065
灵芝,113.89929264186107,22.57201502407732
草埔,114.1113944378249,22.58713140180145
华新,114.08152485497993,22.55166469834854
沙井,113.81939897669581,22.733770330079825
黄贝岭,114.13126641493965,22.54880495572443
红树湾南,113.96650852079027,22.525974816794204
布心,114.13298098576308,22.58369508861425
福永站,113.80099677493348,22.676464820646547
南联,114.26070132177104,22.72479573665459
桥头站,113.80593326408761,22.691040963593004
罗湖站,114.1135241907431,22.53455171888353
安托山,114.00122513240905,22.551632979115595
科学馆站,114.09004758727023,22.54329955667086
新秀站,114.14411374616091,22.55045981173941
机场北站,113.79319952975074,22.65432787691455
侨香,114.00934684685554,22.55260758586774
翠竹,114.12480310238621,22.558888678144328
园岭,114.0993749959756,22.558803081822642
岗厦北,114.06284077632802,22.54102184479824
上沙,114.03042707202155,22.52737871968932
洪湖,114.11737043948142,22.56874760778926
侨城北,113.98418051719597,22.54689194587938
新安,113.88975318936848,22.550519887317403
石厦,114.04850865015898,22.52643416337282
深湾站,113.97367928143515,22.52600986774641
坪洲,113.86580117081712,22.571939379676593
太安,114.13205339107877,22.576174603798247
民乐,114.04370399780765,22.59687360192135
海上世界,113.91025461604019,22.48815216437575
国贸站,114.1137270106456,22.542361431770114
水湾,113.9148292400304,22.491437005926354
深康,113.99385397109369,22.549326532888248
上水径,114.10021456107744,22.6247189188688
老街,114.11113765809317,22.54698906170143
坂田,114.06572106575747,22.630170488171206
会展中心站,114.05598402504354,22.53748127714916
五和,114.05555845835319,22.62953521370229
竹子林站,114.00888803198798,22.536183033295067
塘坑,114.18779950003194,22.641976508948446
兴东,113.91415043211683,22.584865170394515
泥岗,114.09250837933685,22.57048311918452
西丽湖,113.96073120490061,22.596527830344936
大学城,113.96039163383233,22.58490916487039
清湖,114.03144997479215,22.666830526999323
后瑞,113.83045024958118,22.631801135184055
碧海湾站,113.85115064511572,22.578083159241693
长岭陂,114.005250763371,22.602225356670544
侨城东站,113.99166542880175,22.535284076110806
白石洲,113.96213177448287,22.542566553624738
晒布,114.1175708837083,22.551931271573384
向西村,114.12068014941158,22.542489149057438
香梅,114.03453878919876,22.54824635364752
临海,113.88444527895392,22.547209885681802
百鸽笼,114.12529855823766,22.598138938794143
湖贝,114.12034923992134,22.54698349093552
益田,114.04588380873768,22.519018638245118
机场东,113.81759955284791,22.649939515495824
鲤鱼门,113.89821530370351,22.53505898188948
水贝,114.119883449242,22.576681344514785
东角头,113.92628756005246,22.48936091374572
福田,114.0477715881899,22.54281371810132
马鞍山,113.81195103407109,22.719909343101033
宝体,113.87574964116695,22.563783471762797
少年宫,114.05505310050214,22.551339894071393
深云,113.98874726149745,22.559422226813428
蛇口港,113.90747475988353,22.479678511413812
香蜜,114.01879722352348,22.555568076636177
湾厦,113.93373572151148,22.496378016149116
莲花西,114.04493023479881,22.54939997752516
桃源村,113.97701103614114,22.562819837032443
深圳湾公园,113.9881380409092,22.524480271860135
高新园,113.94895031991362,22.543230250617917
宝安中心,113.8823518740308,22.557622893894433
龙井,113.96975269703898,22.56695009935908
珠光,113.95565373642516,22.571246443775134
大运,114.22330798027073,22.688554141590895
下沙,114.01910805352644,22.531790762388653
皇岗村,114.05470813355272,22.525852972746797
后海,113.93762382185874,22.521439929092438
燕南,114.08743398449643,22.5472227830442
机场站,113.80860628784464,22.626952137633594
笋岗,114.10598316457262,22.566033153756052
莲花北,114.05428515968269,22.5632511963861
